0,1,10,0,684.897,5.12428e+06,1.0
2,1,9,0,785.26,6.13635e+06,1.0
1,1,15,0,980.785,7.66179e+06,1.0
2,1,33,0,769.269,6.71943e+06,1.0
2,1,30,0,838.639,7.25838e+06,1.0
1,0,39,0,905.445,8.22649e+06,1.0
2,1,29,0,1209.64,1.10554e+07,1.0
1,0,39,0,954.118,9.09985e+06,1.0
2,0,39,1,887.462,7.99558e+06,1.0
3,0,39,1,1189.88,1.13529e+07,1.0
3,0,39,1,956.802,9.21831e+06,1.0
2,1,18,0,910.02,7.85903e+06,1.0
4,0,39,1,926.089,8.65265e+06,1.0
0,1,8,0,1964.55,1.75281e+07,1.0
3,1,31,0,1158.67,1.08092e+07,1.0
1,1,20,0,1277.13,1.14551e+07,1.0
3,0,39,1,918.822,8.48943e+06,1.0
2,0,39,1,930.259,8.71106e+06,1.0
2,1,35,0,783.936,7.31464e+06,1.0
1,0,39,0,958.25,9.17782e+06,1.0
3,1,30,0,885.561,8.15026e+06,1.0
2,1,16,0,969.026,7.98509e+06,1.0
2,1,37,0,978.619,9.12509e+06,1.0
3,0,39,1,1192.78,1.14748e+07,1.0
4,0,39,1,1166.44,1.08884e+07,1.0
3,0,39,1,1176.65,1.11356e+07,1.0
0,1,15,0,1072.54,9.5401e+06,1.0
2,0,39,1,1420.29,1.35411e+07,1.0
3,0,39,1,941.68,8.85515e+06,1.0
2,1,14,0,1219.98,1.12378e+07,1.0
4,1,35,0,1094.04,1.08585e+07,1.0
2,1,35,0,1309.18,1.24997e+07,1.0
1,1,20,0,871.312,8.00615e+06,1.0
1,1,12,0,1117.86,8.2216e+06,1.0
3,1,33,0,1094.41,1.03219e+07,1.0
0,0,39,0,1197.67,1.15534e+07,1.0
3,1,35,0,1048.02,1.00428e+07,1.0
1,1,30,0,964.428,9.65188e+06,1.0
4,1,26,0,987.229,8.77671e+06,1.0
0,1,15,0,1091.19,9.54844e+06,1.0
2,0,39,1,959.866,9.26369e+06,1.0
0,1,8,0,882.999,6.97986e+06,1.0
2,1,22,0,1236.25,1.17065e+07,1.0
2,0,39,1,985.11,9.83453e+06,1.0
2,1,13,0,2075.08,2.02179e+07,1.0
4,0,39,1,988.514,9.90825e+06,1.0
1,1,19,0,1301.06,1.14683e+07,1.0
1,1,16,0,1030.27,8.98293e+06,1.0
0,1,10,0,643.382,4.51939e+06,1.0
2,0,39,1,953.3,9.19851e+06,1.0
0,1,14,0,532.862,4.21659e+06,1.0
1,0,39,0,1249.85,1.24717e+07,1.0
0,1,16,0,1040.14,9.17816e+06,1.0
1,0,39,0,1448.2,1.40539e+07,1.0
2,1,24,0,1485.98,1.3842e+07,1.0
1,1,26,0,1600.33,1.39046e+07,1.0
2,0,39,1,963.583,9.26819e+06,1.0
2,1,27,0,968.542,8.84876e+06,1.0
2,0,39,1,1203.74,1.17653e+07,1.0
1,1,19,0,856.537,7.41321e+06,1.0
0,1,28,0,1298.33,1.22751e+07,1.0
2,1,17,0,1042.22,9.81614e+06,1.0
3,1,33,0,1140.82,1.10442e+07,1.0
1,1,21,0,1239.52,1.13153e+07,1.0
2,1,28,0,1649.24,1.57986e+07,1.0
3,1,28,0,645.703,5.98823e+06,1.0
3,1,21,0,836.864,7.78138e+06,1.0
1,0,39,0,1016,1.03938e+07,1.0
1,1,18,0,1399.39,1.2423e+07,1.0
0,1,21,0,761.775,6.45638e+06,1.0
1,1,17,0,984.56,8.71586e+06,1.0
3,1,32,0,802.724,7.17712e+06,1.0
2,1,27,0,632.072,5.58621e+06,1.0
4,0,39,1,1217.07,1.19427e+07,1.0
1,1,12,0,596.833,4.56302e+06,1.0
1,0,39,0,717.702,6.93822e+06,1.0
2,0,39,1,952.226,9.11884e+06,1.0
1,1,8,0,2881.98,2.49613e+07,1.0
3,0,39,1,939.416,8.86918e+06,1.0
1,1,39,0,1190.01,1.1348e+07,1.0
1,0,39,0,1195.92,1.14729e+07,1.0
1,0,39,0,1227.91,1.212e+07,1.0
2,1,21,0,786.34,6.94137e+06,1.0
1,1,21,0,833.21,7.61541e+06,1.0
1,1,10,0,773.934,6.54933e+06,1.0
0,1,16,0,1131.73,1.10371e+07,1.0
3,0,39,1,725.094,7.01073e+06,1.0
2,0,39,1,1189.68,1.14463e+07,1.0
0,1,12,0,657.412,5.58266e+06,1.0
4,0,39,1,981.181,9.68226e+06,1.0
3,0,39,1,997.813,9.92175e+06,1.0
3,1,28,0,1263.1,1.15788e+07,1.0
1,1,12,0,1418.89,1.33167e+07,1.0
2,1,29,0,1214.06,1.10351e+07,1.0
3,1,31,0,840.297,7.59478e+06,1.0
2,0,39,1,865.009,7.61939e+06,1.0
1,1,18,0,1204.41,9.22042e+06,1.0
0,1,22,0,788.29,4.85679e+06,1.0
4,0,39,1,736.89,5.67364e+06,1.0
3,0,39,1,693.275,5.04496e+06
